cid,Smiles,classlabel
CHEMBL237725,O=c1c2c(O)c(O)cc(=O)n2ccn1Cc1ccc(F)cc1,1
CHEMBL457777,Cc1cc2c(cc1Cl)SC(C(=O)c1cccc([N+](=O)[O-])c1)=NS2(=O)=O,0
CHEMBL3125973,O=C(NCc1ccc(F)c(Cl)c1)c1c(O)c2cccnc2[nH]c1=O,0
CHEMBL312163,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,0
CHEMBL1163166,CCc1c(Cc2cc(C)cc(C)c2)n(COCc2ccc(Cc3cccc(C(=O)/C=C(\O)C(=O)O)c3)cc2)c(=O)[nH]c1=O,0
CHEMBL1682057,O=C(O)c1cc(Br)cc(C(=O)/C=C/c2cc3c(cc2Cl)OCO3)c1O,0
CHEMBL1682042,O=C(O)c1cc(F)cc(C(=O)/C=C/c2cc(Cl)ccc2Cl)c1O,0
CHEMBL3348566,O=C(CC(=O)c1c[nH]c2ccc(F)cc12)c1nnn[nH]1,0
CHEMBL241183,CCCn1c(N/N=C/c2cc(Br)ccc2O)nc2c1c(=O)[nH]c(=O)n2C,0
CHEMBL3288830,COC(=O)[C@H](C)Nc1c(C(=O)NCc2ccc(F)cc2F)c(=O)n(O)c2ncccc12,1
CHEMBL1270214,COc1ccc(/C=C2\C(=O)N(c3cccc(Br)c3)N=C2C(F)(F)F)cc1OCc1cccc(Cl)c1F,0
CHEMBL190009,O=S(=O)(/C=C/c1cc(O)c(O)c(O)c1)CS(=O)(=O)/C=C/c1cc(O)c(O)c(O)c1,0
CHEMBL2297146,Cc1cc2c(cc1Cl)SC(C(=O)c1ccc(F)cc1)=NS2(=O)=O,0
CHEMBL3397850,COc1c(C(=O)N2CCN(CCNC(=O)c3cc(O)c(O)c(O)c3)CC2)nc(Cc2ccc(F)cc2)n(C)c1=O,0
CHEMBL1270993,Cc1cc(C)cc(Cn2cc(C(=O)/C=C(\O)C(=O)O)c3c(O)cccc32)c1,0
CHEMBL3087627,CCOC(=O)C(=O)CC(=O)/C=C/c1cccn1Cc1cc(Cl)cc(Cl)c1,0
CHEMBL366356,O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,0
CHEMBL1213849,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(Cl)cc1F,0
CHEMBL339551,CC(=O)C(/N=N/c1ccc(S(=O)(=O)Nc2ccccn2)cc1)C(=O)Nc1ccccc1C,0
CHEMBL1682029,O=C(O)c1cc(Br)cc(C(=O)/C=C/c2ccc(Cl)c(Cl)c2)c1O,0
